id	time	电需求	热需求	泛能机产电量	泛能机产热量	泛能机消耗燃气量	补燃锅炉产热量	补燃锅炉消耗燃气量	泛能机电效率	泛能机热效率	补燃锅炉热效率	市电	市热	光伏消耗	光伏存储	光伏产电量	光热消耗	光热存储	光热产热量	储电量	储热量
3728	06/04 07	1.20 	1.02 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.58 	0.00 	0.61 	0.00 	0.61 	1.02 	2.054304573	3.07 	0.00 	3.78 
3729	06/04 08	0.37 	0.00 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.00 	0.00 	0.37 	0.44 	0.82 	0.00 	4.07909581	4.08 	0.43 	7.00 
3730	06/04 09	0.53 	0.00 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.00 	0.00 	0.53 	0.45 	0.98 	0.00 	4.911742452	4.91 	0.88 	7.00 
3731	06/04 10	0.53 	0.00 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.00 	0.00 	0.53 	0.56 	1.09 	0.00 	5.46440281	5.46 	1.43 	7.00 
3732	06/04 11	0.84 	0.00 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.00 	0.00 	0.84 	0.29 	1.13 	0.00 	5.648062871	5.65 	1.71 	7.00 
3733	06/04 12	0.84 	0.00 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.00 	0.00 	0.84 	0.25 	1.09 	0.00 	5.464150912	5.46 	1.95 	7.00 
3734	06/04 13	0.84 	0.00 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.00 	0.00 	0.84 	0.14 	0.98 	0.00 	4.911238144	4.91 	2.09 	7.00 
3735	06/04 14	0.84 	0.00 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.00 	0.00 	0.82 	0.00 	0.82 	0.00 	4.078423227	4.08 	2.06 	7.00 
3736	06/04 15	0.84 	0.00 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.00 	0.00 	0.61 	0.00 	0.61 	0.00 	3.07354811	3.07 	1.83 	7.00 
3737	06/04 16	1.40 	0.00 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	0.00 	0.00 	0.41 	0.00 	0.41 	0.00 	2.037488475	2.04 	0.81 	7.00 
3738	06/04 17	2.10 	0.60 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	1.09 	0.00 	0.21 	0.00 	0.21 	0.60 	0.464554146	1.06 	0.00 	7.00 
3739	06/04 18	3.27 	0.60 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	3.24 	0.00 	0.03 	0.00 	0.03 	0.14 	0	0.14 	0.00 	6.54 
3740	06/04 19	3.27 	2.04 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	3.27 	0.00 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.00 	4.48 
3741	06/04 20	3.11 	2.04 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	3.11 	0.00 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.00 	2.41 
3742	06/04 21	2.65 	2.04 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	2.65 	0.00 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.00 	0.35 
3743	06/04 22	1.71 	0.00 	0.00 	0.00 	0.00 	0	0	0.00 	0.00 	0	1.71 	0.00 	0.00 	0.00 	0.00 	0.00 	0	0.00 	0.00 	0.35 
